league,season,team,player,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
ENG-Premier League,2025-26,Brentford,Aaron Hickey,SCO,"DF,FW",23-082,2002,0.2,13,0,6,4,3,0,13,1,0,0.0,0,0.0,3,23,17,0,0,0,2,0,3,0
ENG-Premier League,2025-26,Brentford,Antoni Milambo,NED,MF,20-150,2005,0.5,19,1,6,10,4,0,19,0,0,,0,,5,32,30,1,2,0,1,0,8,1
ENG-Premier League,2025-26,Brentford,Caoimhín Kelleher,IRL,GK,26-281,1998,3.0,115,84,106,9,0,0,115,0,0,,0,,52,227,129,0,0,0,0,0,47,0
ENG-Premier League,2025-26,Brentford,Dango Ouattara,BFA,FW,23-201,2002,1.9,59,6,17,19,24,7,59,9,2,22.2,6,66.7,28,169,86,4,1,2,5,1,26,7
ENG-Premier League,2025-26,Brentford,Fabio Carvalho,POR,"FW,MF",23-001,2002,1.0,30,1,3,15,13,1,30,3,1,33.3,2,66.7,12,90,30,2,1,0,1,1,14,5
ENG-Premier League,2025-26,Brentford,Frank Onyeka,NGA,MF,27-242,1998,0.7,32,2,7,20,5,2,32,1,0,0.0,1,100.0,16,93,43,2,1,0,1,0,19,0
ENG-Premier League,2025-26,Brentford,Jordan Henderson,ENG,MF,35-075,1990,1.8,92,4,31,49,14,1,92,1,0,0.0,1,100.0,46,182,96,2,2,0,1,1,61,0
ENG-Premier League,2025-26,Brentford,Keane Lewis-Potter,ENG,"DF,FW",24-190,2001,2.5,84,5,39,33,14,3,84,3,1,33.3,2,66.7,35,198,105,3,2,1,4,4,34,5
ENG-Premier League,2025-26,Brentford,Kevin Schade,GER,FW,23-277,2001,2.4,70,7,19,31,23,9,69,5,2,40.0,2,40.0,28,221,86,3,2,1,4,5,42,5
ENG-Premier League,2025-26,Brentford,Kristoffer Ajer,NOR,DF,27-136,1998,0.1,3,1,1,2,0,0,3,0,0,,0,,2,9,5,0,0,0,0,0,2,0
