league,season,team,player,nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
ENG-Premier League,2023-24,Aston Villa,Ollie Watkins,ENG,FW,27,1995,35.7,100,2.8,70,0,7,18,4,1,26,0.73,15,0,2,7,2,0
ENG-Premier League,2023-24,Aston Villa,Omari Kellyman,ENG,FW,17,2005,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2023-24,Aston Villa,Pau Torres,ESP,DF,26,1997,27.4,23,0.84,22,1,0,0,0,0,1,0.04,1,0,0,0,0,0
ENG-Premier League,2023-24,Aston Villa,Philippe Coutinho,BRA,"MF,FW",31,1992,0.3,2,7.2,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2023-24,Aston Villa,Robin Olsen,SWE,GK,33,1990,4.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2023-24,Aston Villa,Tim Iroegbunam,ENG,MF,20,2003,1.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2023-24,Aston Villa,Tyrone Mings,ENG,DF,30,1993,0.3,2,6.0,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0
ENG-Premier League,2023-24,Aston Villa,Youri Tielemans,BEL,"MF,FW",26,1997,18.0,49,2.72,40,1,1,3,2,2,16,0.89,14,0,0,1,0,1
ENG-Premier League,2023-24,Aston Villa,Álex Moreno,ESP,DF,30,1993,11.5,22,1.92,19,0,2,1,0,0,1,0.09,1,0,0,0,0,0
ENG-Premier League,2023-24,Bournemouth,Adam Smith,ENG,DF,32,1991,23.9,31,1.3,26,4,0,0,1,0,5,0.21,5,0,0,0,0,0
ENG-Premier League,2023-24,Bournemouth,Alex Scott,ENG,MF,19,2003,11.3,44,3.91,32,5,2,2,2,1,3,0.27,2,0,1,0,0,0
ENG-Premier League,2023-24,Bournemouth,Antoine Semenyo,GHA,FW,23,2000,23.4,72,3.08,50,0,11,9,1,1,7,0.3,4,0,0,1,1,1
ENG-Premier League,2023-24,Bournemouth,Chris Mepham,WAL,DF,25,1997,6.9,11,1.6,8,1,0,0,0,2,2,0.29,2,0,0,0,0,0
ENG-Premier League,2023-24,Bournemouth,Dango Ouattara,BFA,"FW,DF",21,2002,13.7,45,3.3,34,1,4,2,1,3,3,0.22,3,0,0,0,0,0
ENG-Premier League,2023-24,Bournemouth,David Brooks,WAL,"FW,MF",26,1997,3.1,20,6.41,16,1,1,1,1,0,3,0.96,2,0,1,0,0,0
ENG-Premier League,2023-24,Bournemouth,Dominic Sadi,ENG,FW,19,2003,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2023-24,Bournemouth,Dominic Solanke,ENG,FW,25,1997,36.9,79,2.14,61,0,6,5,4,3,6,0.16,4,0,2,0,0,0
ENG-Premier League,2023-24,Bournemouth,Enes Ünal,TUR,"FW,MF",26,1997,3.6,12,3.28,4,0,1,5,1,1,3,0.82,1,0,0,2,0,0
ENG-Premier League,2023-24,Bournemouth,Hamed Junior Traorè,CIV,MF,23,2000,0.5,4,7.66,1,0,2,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2023-24,Bournemouth,Illia Zabarnyi,UKR,DF,20,2002,37.0,27,0.73,26,0,0,1,0,0,1,0.03,1,0,0,0,0,0
ENG-Premier League,2023-24,Bournemouth,Ionuț Radu,ROU,GK,26,1997,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2023-24,Bournemouth,Jaidon Anthony,ENG,FW,23,1999,1.7,3,1.78,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2023-24,Bournemouth,James Hill,ENG,DF,21,2002,0.8,1,1.18,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2023-24,Bournemouth,Joe Rothwell,ENG,MF,28,1995,4.3,12,2.8,6,3,1,1,1,0,1,0.23,1,0,0,0,0,0
ENG-Premier League,2023-24,Bournemouth,Justin Kluivert,NED,"MF,FW",24,1999,21.3,59,2.77,37,0,9,6,4,3,5,0.23,3,0,1,0,0,1
ENG-Premier League,2023-24,Bournemouth,Kieffer Moore,WAL,"FW,MF",30,1992,1.2,5,4.17,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2023-24,Bournemouth,Lewis Cook,ENG,MF,26,1997,31.0,77,2.49,48,22,2,2,0,3,4,0.13,3,0,0,0,0,1
ENG-Premier League,2023-24,Bournemouth,Lloyd Kelly,ENG,DF,24,1998,17.3,29,1.67,24,2,1,0,1,1,3,0.17,3,0,0,0,0,0
ENG-Premier League,2023-24,Bournemouth,Luis Sinisterra,COL,"FW,MF",24,1999,7.8,42,5.42,27,0,9,4,0,2,3,0.39,0,0,0,3,0,0
ENG-Premier League,2023-24,Bournemouth,Marcos Senesi,ARG,DF,26,1997,24.9,49,1.97,44,0,0,2,1,2,8,0.32,8,0,0,0,0,0
ENG-Premier League,2023-24,Bournemouth,Marcus Tavernier,ENG,FW,24,1999,23.5,101,4.29,72,14,5,5,4,1,9,0.38,6,2,0,0,1,0
ENG-Premier League,2023-24,Bournemouth,Mark Travers,IRL,GK,24,1999,4.0,2,0.5,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2023-24,Bournemouth,Max Aarons,ENG,DF,23,2000,13.7,23,1.68,16,4,0,0,3,0,2,0.15,2,0,0,0,0,0
ENG-Premier League,2023-24,Bournemouth,Milos Kerkez,HUN,DF,19,2003,21.9,32,1.46,25,0,0,4,2,1,4,0.18,2,0,0,0,1,1
ENG-Premier League,2023-24,Bournemouth,Neto,BRA,GK,34,1989,32.0,5,0.16,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2023-24,Bournemouth,Philip Billing,DEN,MF,27,1996,15.5,46,2.96,40,2,1,2,1,0,5,0.32,5,0,0,0,0,0
ENG-Premier League,2023-24,Bournemouth,Romain Faivre,FRA,"MF,FW",25,1998,0.5,1,2.2,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0
