league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
ENG-Premier League,2025-26,Chelsea,Jamie Gittens,ENG,FW,21-023,2004,1.0,2,1,1,1,0,1,1,100.0,0,1,0,1,0,2,1,0
ENG-Premier League,2025-26,Chelsea,Jorrel Hato,NED,DF,19-177,2006,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
ENG-Premier League,2025-26,Chelsea,Joshua Acheampong,ENG,DF,19-118,2006,1.0,2,2,1,1,0,1,2,50.0,1,0,0,0,1,3,5,1
ENG-Premier League,2025-26,Chelsea,João Pedro,BRA,"MF,FW",23-339,2001,2.8,2,2,1,1,0,1,1,100.0,0,2,2,0,0,2,4,0
ENG-Premier League,2025-26,Chelsea,Liam Delap,ENG,FW,22-204,2003,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
ENG-Premier League,2025-26,Chelsea,Malo Gusto,FRA,DF,22-104,2003,1.9,4,1,2,0,2,3,3,100.0,0,0,0,0,3,7,4,0
ENG-Premier League,2025-26,Chelsea,Marc Cucurella,ESP,DF,27-040,1998,2.8,6,3,3,1,2,2,5,40.0,3,5,2,3,3,9,7,0
ENG-Premier League,2025-26,Chelsea,Moisés Caicedo,ECU,MF,23-302,2001,3.0,12,4,3,8,1,5,6,83.3,1,7,4,3,8,20,4,0
ENG-Premier League,2025-26,Chelsea,Pedro Neto,POR,FW,25-175,2000,2.9,2,1,1,1,0,1,1,100.0,0,1,0,1,2,4,1,0
ENG-Premier League,2025-26,Chelsea,Reece James,ENG,DF,25-266,1999,1.2,1,1,1,0,0,1,1,100.0,0,2,0,2,4,5,2,0
ENG-Premier League,2025-26,Chelsea,Robert Sánchez,ESP,GK,27-286,1997,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2025-26,Chelsea,Tosin Adarabioyo,ENG,DF,27-341,1997,2.0,5,2,3,2,0,1,2,50.0,1,0,0,0,3,8,12,0
ENG-Premier League,2025-26,Chelsea,Trevoh Chalobah,ENG,DF,26-057,1999,2.8,7,5,1,6,0,6,6,100.0,0,2,2,0,5,12,11,0
ENG-Premier League,2025-26,Chelsea,Tyrique George,ENG,FW,19-208,2006,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2025-26,Chelsea,Wesley Fofana,FRA,DF,24-257,2000,0.2,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0
ENG-Premier League,2025-26,Crystal Palace,Adam Wharton,ENG,MF,21-090,2004,1.9,1,1,0,1,0,0,6,0.0,6,5,1,4,2,3,1,0
ENG-Premier League,2025-26,Crystal Palace,Chris Richards,USA,DF,25-156,2000,2.0,3,3,2,0,1,3,3,100.0,0,4,3,1,3,6,8,0
ENG-Premier League,2025-26,Crystal Palace,Daniel Muñoz,COL,"DF,MF",29-097,1996,2.0,2,0,1,1,0,2,3,66.7,1,0,0,0,2,4,8,0
ENG-Premier League,2025-26,Crystal Palace,Dean Henderson,ENG,GK,28-172,1997,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
ENG-Premier League,2025-26,Crystal Palace,Eberechi Eze,ENG,MF,27-063,1998,0.9,1,1,0,1,0,0,0,,0,1,0,1,0,1,1,0
ENG-Premier League,2025-26,Crystal Palace,Ismaila Sarr,SEN,"MF,FW",27-187,1998,2.0,2,0,2,0,0,1,3,33.3,2,2,1,1,0,2,3,0
ENG-Premier League,2025-26,Crystal Palace,Jean-Philippe Mateta,FRA,FW,28-064,1997,2.0,1,1,1,0,0,0,2,0.0,2,0,0,0,2,3,4,0
ENG-Premier League,2025-26,Crystal Palace,Jefferson Lerma,COL,MF,30-310,1994,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
ENG-Premier League,2025-26,Crystal Palace,Justin Devenny,NIR,"FW,MF",21-324,2003,0.8,3,3,1,2,0,2,4,50.0,2,1,0,1,0,3,1,0
ENG-Premier League,2025-26,Crystal Palace,Marc Guéhi,ENG,DF,25-049,2000,2.0,2,1,2,0,0,1,2,50.0,1,0,0,0,1,3,8,0
ENG-Premier League,2025-26,Crystal Palace,Maxence Lacroix,FRA,DF,25-147,2000,2.0,6,3,3,3,0,4,4,100.0,0,5,3,2,3,9,16,1
ENG-Premier League,2025-26,Crystal Palace,Odsonne Édouard,FRA,FW,27-227,1998,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
